input,algo,status,solved,time_s,nodes,backtracks,inferences,mem_peak_kb,note
input-01.txt,fc,ok,1,0.000149,6,0,6,5.52,
input-01.txt,bt,ok,1,0.000345,7,0,0,6.08,
input-01.txt,bc,ok,1,0.000586,6,-1,0,68.71,
input-01.txt,astar-h1,ok,1,9.30E-05,7,-1,0,8.45,
input-01.txt,astar-h2,ok,1,0.000134,7,-1,0,8.72,
input-01.txt,astar-h3,ok,1,0.000174,7,-1,0,9.49,
input-01.txt,cnf,ok,1,0.131395,314,-1,0,1878.98,
input-02.txt,fc,ok(fc+bt),1,0.000512,17,0,0,30.18,
input-02.txt,bt,ok,1,0.00034,17,0,0,25.1,
input-02.txt,bc,ok,1,0.001432,16,-1,0,238.26,
input-02.txt,astar-h1,ok,1,0.000346,17,-1,0,11.93,
input-02.txt,astar-h2,ok,1,0.000803,17,-1,0,15.08,
input-02.txt,astar-h3,ok,1,0.00445,17,-1,0,25.99,
input-02.txt,cnf,ok,1,0.017237,544,-1,0,1910.53,
input-03.txt,fc,ok,1,0.000183,4,0,4,5.9,
input-03.txt,bt,ok,1,8.40E-05,5,0,0,4.18,
input-03.txt,bc,ok,1,0.000484,4,-1,0,52.91,
input-03.txt,astar-h1,ok,1,7.80E-05,5,-1,0,7.03,
input-03.txt,astar-h2,ok,1,0.000128,5,-1,0,10.23,
input-03.txt,astar-h3,ok,1,9.50E-05,5,-1,0,7.33,
input-03.txt,cnf,ok,1,0.014839,516,-1,0,1906.52,
input-04.txt,fc,ok,1,0.000171,7,0,7,5.98,
input-04.txt,bt,ok,1,0.000129,8,0,0,8.21,
input-04.txt,bc,ok,1,0.00063,7,-1,0,80.84,
input-04.txt,astar-h1,ok,1,0.000123,8,-1,0,9.12,
input-04.txt,astar-h2,ok,1,0.000224,8,-1,0,12.12,
input-04.txt,astar-h3,ok,1,0.00036,8,-1,0,10.3,
input-04.txt,cnf,ok,1,0.01853,413,-1,0,1892.41,
input-05.txt,fc,ok,1,0.000292,11,0,11,13.8,
input-05.txt,bt,ok,1,0.000211,12,0,0,12.98,
input-05.txt,bc,ok,1,0.000931,11,-1,0,148.18,
input-05.txt,astar-h1,ok,1,0.000247,12,-1,0,18.93,
input-05.txt,astar-h2,ok,1,0.000472,12,-1,0,21.16,
input-05.txt,astar-h3,ok,1,0.001013,12,-1,0,19.19,
input-05.txt,cnf,ok,1,0.019691,879,-1,0,1957.84,
input-06.txt,fc,ok(fc+bt),1,0.000661,19,3,10,16.5,
input-06.txt,bt,ok,1,0.000292,17,0,0,24.43,
input-06.txt,bc,ok,1,0.001337,16,-1,0,248.17,
input-06.txt,astar-h1,ok,1,0.000395,17,-1,0,22.46,
input-06.txt,astar-h2,ok,1,0.001072,17,-1,0,28.02,
input-06.txt,astar-h3,ok,1,0.00264,17,-1,0,23.75,
input-06.txt,cnf,ok,1,0.020167,1084,-1,0,1986.97,
input-07.txt,fc,ok,1,0.000345,19,0,19,20.28,
input-07.txt,bt,ok,1,0.000691,20,0,0,30.42,
input-07.txt,bc,ok,1,0.001413,19,-1,0,333.08,
input-07.txt,astar-h1,ok,1,0.000793,20,-1,0,40.91,
input-07.txt,astar-h2,ok,1,0.001679,20,-1,0,45.71,
input-07.txt,astar-h3,ok,1,0.003695,20,-1,0,40.91,
input-07.txt,cnf,ok,1,0.023165,2345,-1,0,2162.71,
input-08.txt,fc,ok(fc+bt),1,0.00114,36,4,10,46.08,
input-08.txt,bt,ok,1,0.002249,43,11,0,74.91,
input-08.txt,bc,ok,1,0.013015,59,-1,0,729.41,
input-08.txt,astar-h1,ok,1,0.005868,60,-1,0,76.86,
input-08.txt,astar-h2,ok,1,0.012458,53,-1,0,76.06,
input-08.txt,astar-h3,ok,1,0.052243,33,-1,0,65.13,
input-08.txt,cnf,ok,1,0.045461,2668,-1,0,2210.57,
input-09.txt,fc,ok,1,0.000538,36,0,36,33.52,
input-09.txt,bt,ok,1,0.001608,37,0,0,85.75,
input-09.txt,bc,ok,1,0.010941,38,-1,0,907.21,
input-09.txt,astar-h1,ok,1,0.002241,39,-1,0,86.53,
input-09.txt,astar-h2,ok,1,0.005443,38,-1,0,92.12,
input-09.txt,astar-h3,ok,1,0.038546,37,-1,0,82.46,
input-09.txt,cnf,ok,1,0.027446,4549,-1,0,2476.03,
input-10.txt,fc,ok(fc+bt),1,0.001705,61,0,45,54.23,
input-10.txt,bt,ok,1,0.00248,61,0,0,209.43,
input-10.txt,bc,ok,1,0.052535,456,-1,0,2414.55,
input-10.txt,astar-h1,ok,1,0.048327,457,-1,0,1350.96,
input-10.txt,astar-h2,ok,1,0.127598,399,-1,0,1171.83,
input-10.txt,astar-h3,ok,1,0.173982,61,-1,0,210.27,
input-10.txt,cnf,ok,1,0.021389,12090,-1,0,3561.09,
input-11.txt,fc,ok(fc+bt),1,0.179591,4374,4996,1,459.05,
input-11.txt,bt,ok,1,0.02306,690,685,0,407.15,
input-11.txt,bc,timeout,,600,,,,,>600.0s
input-11.txt,astar-h1,timeout,,600,,,,,>600.0s
input-11.txt,astar-h2,timeout,,600,,,,,>600.0s
input-11.txt,astar-h3,ok,1,30.623332,6547,-1,0,16127.09,
input-11.txt,cnf,ok,1,0.141583,10454,-1,0,3335.44,
input-12.txt,fc,ok(fc+bt),1,0.252257,7544,8660,2,359.16,
input-12.txt,bt,ok,1,0.261788,7544,8660,0,343.86,
input-12.txt,bc,ok,1,9.318154,89565,-1,0,3538.17,
input-12.txt,astar-h1,ok,1,7.511501,89566,-1,0,333063.05,
input-12.txt,astar-h2,timeout,,600,,,,,>600.0s
input-12.txt,astar-h3,ok,1,0.457243,174,-1,0,570.24,
input-12.txt,cnf,ok,1,0.042315,10775,-1,0,3372.65,
